資料集名稱,主題分類,資料集描述,主要欄位說明
臺北市哺乳專線,醫療,臺北市哺乳專線。,項次、服務單位、服務時間、市話、分機
臺北市酒癮治療服務機構,醫療,臺北市酒癮治療服務機構。,機構名稱、地址、電話、分機、其他聯絡方式、項次、機構名稱、地址、電話、其他聯絡方式
臺北市醫療保健福利業務,醫療,醫療保健福利業務。,項次、名稱、原預算數、預算增減數、合計數
臺北市工務統計資料,工務,臺北市道路、橋梁涵管、防洪排水、路燈、公園綠地、污水下水道、山坡地安全治理、綜合項目及其他、工務性別統計等9大類、93個主題、10萬餘筆時間數列統計資料。  ,項次、表名、資料期、項目、統計數值
臺北市政府政風處檢舉管道,資訊,提供臺北市政府政風處受理檢舉之管道,序號、縣市代碼、機關代碼、檢舉管道、通路資訊
臺北市政府各一級機關暨列席議會二級機關首長名錄,資訊,"收錄本府各一級機關及列席議會二級機關首長資料
",編號、機關、姓名、職稱、到職日、主要學歷、主要經歷、考試、通訊處、公務電話
「臺北最High新年城 跨年晚會」活動預算及參與人數,觀光,近三年「臺北最High新年城  跨年晚會」之預算、活動參與人數、轉播觀看人次,年度、活動內容、新臺幣元、活動參與人數、轉播觀看人次
臺北捷運廣場各場地活動日期及名稱,交通,臺北捷運公司所屬廣場各場地活動日期及名稱,開始日期、結束日期、地點、活動名稱、辦理單位
臺北市街友服務_街友中途之家暨盥洗服務據點,社福,提供街友中途之家暨盥洗服務據點資訊,類型、服務單位名稱、盥洗時間、地址、電話
臺北市愛心餐食_愛心餐食補給站,社福,提供愛心餐食補給站相關資訊,機構名稱、行政區代碼、中心主任、郵遞區號、地址、電話、傳真、經度、緯度、機關代碼、提供單位、上傳日期
臺北捷運興建中路網各線工程進度累計百分比,交通,本局截至2026年3月底計算興建中捷運路網各線工程進度並依預定進度執行完成各月執行項目,"項次、縣市代碼、機關代碼、路線名稱、預定進度、實際進度
"
臺北市各行政區不動產登記統計(拍賣登記),地政,本市各行政區不動產因拍賣登記之件數、土地筆數、土地面積、建物棟數及建物面積統計。,行政區、件數、土地筆數、土地面積(平方公尺)、建物棟數、建物面積(平方公尺)
臺北市各行政區不動產登記統計(買賣登記),地政,本市各行政區不動產因買賣登記之件數、土地筆數、土地面積、建物棟數及建物面積統計。,行政區、件數、土地筆數、土地面積(平方公尺)、建物棟數、建物面積(平方公尺)
臺北市各行政區不動產登記統計(抵押權設定),地政,本市各行政區不動產因抵押權設定之件數、土地筆數及建物棟數統計。,縣市、行政區、件數、土地筆數、建物棟數
臺北市各行政區不動產登記統計(第一次登記),地政,本市各行政區不動產因第一次登記之件數、建物棟數及建物面積統計。,縣市、行政區、件數、建物棟數、建物面積(平方公尺)
臺北市徵解地政規費,地政,臺北市相關地政規費徵收數及解庫數之統計資料,規費名稱、本月徵收金額、本年累計徵收金額、本月解庫金額、累計解庫金額、登記儲金金額
