年度,類別,項目,抽驗件數/場,合格[件/場],不合格[件/場],合格率
114,品質,有機農產品,297,295,2,99.33%
114,標示,有機農產品,630,628,2,99.68%
114,品質,產銷履歷農產品,104,103,1,99.04%
114,標示,產銷履歷農產品,104,104,0,100.00%
113,品質,有機農產品,290,290,0,100.00%
113,標示,有機農產品,635,635,0,100.00%
113,品質,產銷履歷農產品,104,102,2,98.08%
113,標示,產銷履歷農產品,104,104,0,100.00%
112,品質,有機農產品,316,314,2,99.36%
112,標示,有機農產品,636,636,0,100.00%
112,品質,產銷履歷農產品,111,110,1,99.09%
112,標示,產銷履歷農產品,130,130,0,100.00%
111,品質,有機農產品,337,333,4,98.81%
111,標示,有機農產品,641,641,0,100.00%
111,品質,產銷履歷農產品,130,124,6,95.38%
111,標示,產銷履歷農產品,130,130,0,100.00%
110,品質,有機農產品,309,308,1,99.68%
110,標示,有機農產品,687,682,5,99.27%
110,品質,產銷履歷農產品,107,104,3,97.20%
110,標示,產銷履歷農產品,136,136,0,100.00%
109,品質,有機農產品,314,303,1,96.50%
109,標示,有機農產品,780,760,5,97.44%
109,品質,產銷履歷農產品,57,56,1,98.25%
109,標示,產銷履歷農產品,80,80,0,100.00%
108,品質,有機農產品,318,317,1,99.69%
108,標示,有機農產品,688,659,29,95.78%
108,品質,產銷履歷農產品,125,122,3,97.60%
108,標示,產銷履歷農產品,139,138,1,99.28%
