項次,行政區域代碼,業者名稱,地址,類別
1,63000100,天仁餐盒有限公司,臺北市內湖區新明路321巷10弄8、10、12號1樓,餐盒食品工廠
2,63000100,士福美食股份有限公司,臺北市內湖區新明路193號,餐盒食品工廠
3,63000110,榮彬食品有限公司,臺北市士林區福港街110巷1弄2之1號,餐盒食品工廠
4,63000100,冠冕盒餐食品股份有限公司,臺北市內湖區內湖路1段91巷38弄7號1樓,餐盒食品工廠
5,63000090,第一餐盒股份有限公司,臺北市南港區重陽路263巷8號,餐盒食品工廠
6,63000090,宮保王食品有限公司,臺北市南港區南港路3段149巷49弄12號、14號,餐盒食品工廠
7,63000100,福氣食品有限公司,臺北市內湖區文湖街60巷32號1樓,餐盒食品工廠
8,63000090,凱鴻素食有限公司,臺北市南港區西新里松河街406號,餐盒食品工廠
9,63000090,鉅登團膳食品有限公司,臺北市南港區南港路3段80巷32號2樓,餐盒食品工廠
10,63000100,福冠團膳有限公司,臺北市內湖區內湖路1段91巷18號1、2樓,餐盒食品工廠
11,63000010,高雄空廚股份有限公司松山廠,臺北市松山區精忠里敦化北路405巷123弄9號1、2樓,餐盒食品工廠
12,63000110,太子油飯股份有限公司士林廠,臺北市士林區前港街23、25及29號,餐盒食品工廠
13,63000120,廣和坐月子生技股份有限公司,臺北市北投區一德里立功街122號2樓(廠房)、3樓(檢驗室)、6樓(倉庫),餐盒食品工廠
14,63000050,國營臺灣鐵路股份有限公司附業營運處臺北餐旅分處,臺北市中正區北平西路3號,供應鐵路運輸旅客餐盒之食品業
