編號,抽驗日期,檢體名稱,供應代號,來源廠商,件數,總重量（公斤）,加強抽驗/到貨日期,加強抽驗結果,備註
1,1150301,辣椒,T99147-E75,屏東縣南豐果菜生產合作社,2,20,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
2,1150302,辣椒,T99021-747,有限責任屏東縣九如果菜批發市場運銷合作社,9,108,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
3,1150302,木瓜,M88168-330,保證責任南投縣埔里鎮水果生產合作社,81,972,1150327,合格,
4,1150303,辣椒,Q00049-665,朴子市農會,5,30,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
5,1150306,辣椒,N99083-B51,保證責任彰化縣澤達果菜生產合作社,8,82,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
6,1150307,辣椒,S88001-090,保證責任高雄市漢民果菜運銷合作社,2,36,,尚在停供期間,
7,1150307,桶柑,L01016-035,保證責任台灣省青果運銷合作社台中分社東勢集貨場,21,420,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
8,1150307,棗子,T00482-685,里港鄉農會,22,132,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
9,1150308,小白菜,P99607-275,保證責任雲林縣荷苞嶼合作農場,14,280,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
10,1150308,雜柑,T88068-502,保證責任屏東縣金園農產品生產合作社,2,36,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
11,1150310,辣椒,N99083-006,保證責任彰化縣澤達果菜生產合作社,4,40,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
12,1150310,辣椒,S00043-A34,美濃區農會,4,60,1150328,合格,
13,1150310,辣椒,Q00186-603,鹿草鄉農會,3,39,1150329,不合格,
14,1150310,黃秋葵,Q00049-688,朴子市農會,5,24,1150324,合格,
15,1150311,辣椒,T00482-210,里港鄉農會,2,30,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
16,1150311,辣椒,P99179-282,保證責任雲林縣新豐蔬菜生產合作社,6,60,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
17,1150311,蘆筍,R00184-526,將軍區農會,6,33,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
18,1150312,辣椒,Q00049-113,朴子市農會,5,50,,尚在停供期間,
19,1150312,辣椒,N88002-G35,保證責任彰化縣埤頭合作農場,1,10,,尚在停供期間,
20,1150312,辣椒,T01029-999,保證責任台灣省青果運銷合作社屏東分社玉田集貨場,4,64,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
21,1150313,百香果,M99212-111,保證責任南投縣合成百香果生產合作社,7,49,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
22,1150314,萵苣菜,P01040-025,保證責任台灣省青果運銷合作社嘉南分社田尾集貨場,6,120,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
23,1150314,豌豆,N00237-709,埤頭鄉農會,2,20,,尚在停供期間,
24,1150314,"其他
(牛奶果)",M00052-H11,竹山鎮農會,18,156,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
25,1150317,菠菜,P99607-415,保證責任雲林縣荷苞嶼合作農場,3,60,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
26,1150317,茴香,Q00094-967,新港鄉農會,2,36,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
27,1150317,辣椒,N00215-394,二水鄉農會,2,22,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
28,1150318,芫荽,N99083-513,保證責任彰化縣澤達果菜生產合作社,2,30,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
29,1150318,菠菜,P00126-869,二崙鄉農會,27,378,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
30,1150318,辣椒,R00139-136,官田區農會,2,30,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
31,1150318,萵苣莖,N00271-064,溪州鄉農會,7,196,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
32,1150318,辣椒,Q99151-199,保證責任嘉義縣朴子果菜運銷合作社,11,264,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
33,1150318,辣椒,Q00186-689,鹿草鄉農會,5,50,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
34,1150319,辣椒,T99147-G63,保證責任屏東縣南豐果菜生產合作社,5,50,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
35,1150319,雜柑,G01515-154,保證責任台灣省青果運銷合作社宜蘭分社員山集貨場,8,96,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
36,1150319,甜椒,M88288-T02,保證責任南投縣水里鄉果菜生產合作社,4,40,1150401,合格,
37,1150319,芥藍菜,P99858-519,保證責任雲林縣港尾社區合作農場,6,30,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
38,1150319,木瓜,M00052-F88,竹山鎮農會,13,156,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
39,1150320,豌豆,Q99209-047,保證責任嘉義縣阿里山果菜運銷合作社,9,130,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
40,1150320,花椰菜,N88036-886,保證責任彰化縣埔鹽鄉菁英農民果菜生產合作社,2,30,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
41,1150320,豌豆,N01069-257,保證責任台灣省青果運銷合作社台中分社過圳集貨場,1,15,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
42,1150321,芫荽,N99083-A01,保證責任彰化縣澤達果菜生產合作社,1,15,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
