縣市名,縣市別代碼,市集名稱,年度,星等
臺北市,63000,士東市場,109,5
臺北市,63000,南門市場,109,5
臺北市,63000,寧夏夜市,109,5
臺北市,63000,大直市場,109,4
臺北市,63000,華山市場,109,4
臺北市,63000,士林市場,109,4
臺北市,63000,西湖市場,109,3
臺北市,63000,中崙市場,109,3
臺北市,63000,永樂市場(3樓),109,3
臺北市,63000,建國假日玉市(社團法人中華玉器藝術文化交流協會),109,3
臺北市,63000,松江市場,109,3
臺北市,63000,長春市場,109,3
臺北市,63000,光華數位新天地,109,3
臺北市,63000,晴光攤販集中場,109,3
臺北市,63000,東三水街攤販集中場,109,3
臺北市,63000,南機場臨時攤販集中場,109,3
臺北市,63000,華西街攤販集中場,109,3
臺北市,63000,龍山商場(百貨部),109,3
臺北市,63000,四平街臨時攤販集中場,109,3
臺北市,63000,水源市場,109,3
臺北市,63000,成功市場,109,2
臺北市,63000,公館夜市,109,2
臺北市,63000,永春市場,109,2
臺北市,63000,光復市場,109,2
臺北市,63000,西寧市場(B1),109,2
臺北市,63000,廣州街攤販集中場,109,2
臺北市,63000,建國假日玉市(社團法人臺北市玉石文物協進會),109,2
臺北市,63000,成德市場,109,2
臺北市,63000,悟州街攤販集中場,109,1
臺北市,63000,直興市場,109,1
臺北市,63000,安東市場,109,1
臺北市,63000,(110年因疫情影響停辦),,
臺北市,63000,寧夏夜市,111,5
臺北市,63000,士東市場,111,5
臺北市,63000,南門市場,111,5
臺北市,63000,大直公有零售市場,111,4
臺北市,63000,西湖公有零售市場,111,4
臺北市,63000,中崙公有零售市場,111,4
臺北市,63000,大龍市場,111,4
臺北市,63000,華西街攤販集中場,111,4
臺北市,63000,西寧市場1樓,111,4
臺北市,63000,華山市場,111,4
臺北市,63000,士林夜市,111,4
臺北市,63000,士林市場,111,4
臺北市,63000,士林夜市商圈聯合會,111,3
臺北市,63000,四平街攤販集中場,111,3
臺北市,63000,南機場攤販集中區,111,3
臺北市,63000,艋舺夜市,111,3
臺北市,63000,光華數位新天地,111,3
臺北市,63000,水源市場,111,3
臺北市,63000,長春市場,111,3
臺北市,63000,龍山商場百貨部,111,3
臺北市,63000,永樂市場3樓,111,3
臺北市,63000,晴光攤販集中區,111,3
臺北市,63000,安東市場,111,2
臺北市,63000,松江市場,111,2
臺北市,63000,雙城街攤販集中場,111,2
臺北市,63000,公館夜市,111,2
臺北市,63000,梧州街攤販集中場,111,2
臺北市,63000,廣州街攤販集中場,111,2
臺北市,63000,西園路二段140巷攤販集中場,111,2
臺北市,63000,西門市場,111,2
臺北市,63000,西寧市場地下1樓,111,2
臺北市,63000,大稻埕慈聖宮美食街,111,2
臺北市,63000,新富市場,111,2
