year,months,organ,kind,number,numofpeople
106,1,新北市板橋分局,總計,555,555
106,1,新北市海山分局,總計,64,64
106,1,新北市中和分局,總計,441,441
106,1,新北市永和分局,總計,247,247
106,1,新北市三重分局,總計,237,237
106,1,新北市新莊分局,總計,286,286
106,1,新北市土城分局,總計,95,95
106,1,新北市新店分局,總計,411,411
106,1,新北市蘆洲分局,總計,355,355
106,1,新北市三峽分局,總計,167,167
106,1,新北市樹林分局,總計,308,308
106,1,新北市汐止分局,總計,170,170
106,1,新北市淡水分局,總計,149,149
106,1,新北市瑞芳分局,總計,23,23
106,1,新北市金山分局,總計,5,5
106,1,新北市政府警察局,罰鍰,1545,1545
106,1,新北市板橋分局,罰鍰,278,278
106,1,新北市海山分局,罰鍰,64,64
106,1,新北市中和分局,罰鍰,64,64
106,1,新北市永和分局,罰鍰,47,47
106,1,新北市三重分局,罰鍰,63,63
106,1,新北市新莊分局,罰鍰,203,203
106,1,新北市土城分局,罰鍰,45,45
106,1,新北市新店分局,罰鍰,134,134
106,1,新北市蘆洲分局,罰鍰,200,200
106,1,新北市三峽分局,罰鍰,70,70
106,1,新北市樹林分局,罰鍰,79,79
106,1,新北市汐止分局,罰鍰,147,147
106,1,新北市淡水分局,罰鍰,140,140
106,1,新北市瑞芳分局,罰鍰,8,8
106,1,新北市金山分局,罰鍰,3,3
106,1,新北市政府警察局,没入攤架,0,0
106,1,新北市板橋分局,没入攤架,0,0
106,1,新北市海山分局,没入攤架,0,0
106,1,新北市中和分局,没入攤架,0,0
106,1,新北市永和分局,没入攤架,0,0
106,1,新北市三重分局,没入攤架,0,0
106,1,新北市新莊分局,没入攤架,0,0
106,1,新北市土城分局,没入攤架,0,0
106,1,新北市新店分局,没入攤架,0,0
106,1,新北市蘆洲分局,没入攤架,0,0
106,1,新北市三峽分局,没入攤架,0,0
106,1,新北市樹林分局,没入攤架,0,0
106,1,新北市汐止分局,没入攤架,0,0
106,1,新北市淡水分局,没入攤架,0,0
106,1,新北市瑞芳分局,没入攤架,0,0
106,1,新北市金山分局,没入攤架,0,0
106,1,新北市政府警察局,拆除攤架,0,0
106,1,新北市板橋分局,拆除攤架,0,0
106,1,新北市海山分局,拆除攤架,0,0
106,1,新北市中和分局,拆除攤架,0,0
106,1,新北市永和分局,拆除攤架,0,0
106,1,新北市三重分局,拆除攤架,0,0
106,1,新北市新莊分局,拆除攤架,0,0
106,1,新北市土城分局,拆除攤架,0,0
106,1,新北市新店分局,拆除攤架,0,0
106,1,新北市蘆洲分局,拆除攤架,0,0
106,1,新北市三峽分局,拆除攤架,0,0
106,1,新北市樹林分局,拆除攤架,0,0
106,1,新北市汐止分局,拆除攤架,0,0
106,1,新北市淡水分局,拆除攤架,0,0
106,1,新北市瑞芳分局,拆除攤架,0,0
106,1,新北市金山分局,拆除攤架,0,0
106,1,新北市政府警察局,勸導,1968,1968
106,1,新北市板橋分局,勸導,277,277
106,1,新北市海山分局,勸導,0,0
106,1,新北市中和分局,勸導,377,377
106,1,新北市永和分局,勸導,200,200
106,1,新北市三重分局,勸導,174,174
106,1,新北市新莊分局,勸導,83,83
106,1,新北市土城分局,勸導,50,50
106,1,新北市新店分局,勸導,277,277
106,1,新北市蘆洲分局,勸導,155,155
106,1,新北市三峽分局,勸導,97,97
106,1,新北市樹林分局,勸導,229,229
106,1,新北市汐止分局,勸導,23,23
106,1,新北市淡水分局,勸導,9,9
106,1,新北市瑞芳分局,勸導,15,15
106,1,新北市金山分局,勸導,2,2
106,2,新北市政府警察局,總計,3268,3268
106,2,新北市板橋分局,總計,561,561
106,2,新北市海山分局,總計,82,82
106,2,新北市中和分局,總計,490,490
106,2,新北市永和分局,總計,218,218
106,2,新北市三重分局,總計,155,155
106,2,新北市新莊分局,總計,232,232
106,2,新北市土城分局,總計,60,60
106,2,新北市新店分局,總計,481,481
106,2,新北市蘆洲分局,總計,280,280
106,2,新北市三峽分局,總計,210,210
