number,county,countycode,district,areacode,market_name,grade,address,year
1,新北市,65000,汐止區,65000110,汐止觀光夜市,5,新北市汐止區大同路二段312巷2號2樓,113
2,新北市,65000,瑞芳區,65000120,瑞芳美食廣場,5,新北市瑞芳區民生街35巷2號,113
3,新北市,65000,泰山區,65000160,泰山公有零售市場,5,新北市泰山區全興路212號,113
4,新北市,65000,林口區,65000170,林口公有零售市場,5,新北市林口區林口路15號,113
5,新北市,65000,淡水區,65000100,淡水中正美食廣場,5,新北市淡水區中正路115號,113
6,新北市,65000,五股區,65000150,五股公有零售市場,4,新北市五股區工商路3號,113
7,新北市,65000,永和區,65000040,永安公有零售市場,4,新北市永和區安樂路431號,113
8,新北市,65000,三峽區,65000090,三峽公有零售市場,4,新北市三峽區民生街186號,113
9,新北市,65000,汐止區,65000110,林森公有攤販集中區,4,新北市汐止區民權街二段97巷1號1樓,113
10,新北市,65000,汐止區,65000110,金龍公有零售市場,4,新北市汐止區中興路250號,113
11,新北市,65000,林口區,65000170,東勢公有零售市場,4,新北市林口區麗園一街35號,113
12,新北市,65000,三重區,65000020,中央公有零售市場,4,新北市三重區中央北路26號,113
13,新北市,65000,鶯歌區,65000080,鶯歌美食廣場,4,新北市鶯歌區建國路108號2樓,113
14,新北市,65000,汐止區,65000110,秀豐公有零售市場,4,新北市汐止區新台五路2段238-1號10樓,113
15,新北市,65000,中和區,65000030,和平街臨時攤販集中區,4,新北市中和區和平街89號,113
16,新北市,65000,永和區,65000040,樂華夜市,4,新北市永和區保福路一段30號,113
17,新北市,65000,中和區,65000030,民享公有零售市場,3,新北市中和區民享街37號,113
18,新北市,65000,萬里區,65000280,萬里野柳臨時賣店區,3,新北市萬里區野柳里港東路攤販街2號,113
19,新北市,65000,樹林區,65000070,保安攤販集中區,3,新北市樹林區保安街2段255巷1弄4號,113
20,新北市,65000,蘆洲區,65000140,永平公有零售市場,3,新北市蘆洲區永平街1號,113
21,新北市,65000,板橋區,65000010,湳雅夜市,3,新北市板橋區南雅東路1至87號、2至120號,113
22,新北市,65000,汐止區,65000110,忠厚公有零售市場,3,新北市汐止區樟樹一路137巷26號,113
23,新北市,65000,新店區,65000600,中央公有零售市場,3,"新北市新店區中央5街60號 ",113
24,新北市,65000,淡水區,65000100,中山公有零售市場,3,新北市淡水區中山路77號,113
25,新北市,65000,八里區,65000230,下庄公有零售市場,2,新北市八里區舊城路19號,113
26,新北市,65000,三重區,65000020,光明公有零售市場,2,新北市三重區重安街70號,113
27,新北市,65000,三重區,65000020,重新公有零售市場,2,新北市三重區重新路一段87-6號,113
28,新北市,65000,金山區,65000270,第一公有零售市場,2,新北市金山區中山路188號,113
29,新北市,65000,新莊區,65000050,新莊第一公有零售市場,2,新北市新莊區新莊路315號,113
30,新北市,65000,永和區,65000040,溪州公有零售市場,2,新北市永和區勵行街42-1號,113
31,新北市,65000,板橋區,65000010,後埔公有零售市場,1,新北市板橋區大華街5號,113
32,新北市,65000,板橋區,65000010,湳興公有零售市場,1,新北市板橋區信義路179號,113
33,新北市,65000,土城區,65000130,土城公有零售市場,1,新北市土城區中正路18號,113
